epoch,train_loss,train_acc,val_loss,val_acc
1,1.1052,0.3564,1.1018,0.3585
2,1.0719,0.4226,1.1085,0.39
3,1.0319,0.4772,1.0835,0.42
4,0.9647,0.5402,1.0793,0.475
5,0.8104,0.6464,1.0429,0.5435
6,0.5469,0.7748,1.0248,0.598
7,0.3017,0.8859,1.1886,0.632
8,0.166,0.9379,1.2739,0.6655
9,0.103,0.9623,1.5766,0.648
10,0.082,0.9706,1.487,0.66
11,0.0375,0.9896,1.3974,0.6725
12,0.0075,0.9997,1.4521,0.6735
13,0.004,1.0,1.5086,0.67
14,0.0027,1.0,1.559,0.6715
15,0.002,1.0,1.6055,0.672
16,0.0015,1.0,1.6491,0.671
17,0.0011,1.0,1.6901,0.6705
18,0.0009,1.0,1.7301,0.67
19,0.0007,1.0,1.7688,0.6705
20,0.0006,1.0,1.8069,0.6715
